t,ax,ay,az,wx,wy,wz,dt,vx,vy,vz,x,y,z
13.406,-0.767604,-0.65414,-2.549199,3688,14260,-9848,0.09299999999999997,-3.438646419999971,-1.9897457570000079,-1.8066088639999895,-28.44424243057993,3.7480667688420155,-15.917486344519954
13.5,-1.910028,-1.411864,-8.207433,-4980,2576,-12816,0.09399999999999942,-3.61818905199997,-2.122460973000007,-2.578107565999985,-28.784352201467925,3.548555437380016,-16.15982845572395
13.594,3.406317,6.353987,2.5968,6712,15988,-19964,0.09399999999999942,-3.2979952539999724,-1.5251861950000107,-2.334008365999986,-29.09436375534392,3.405187935050016,-16.379225242127948
13.684,-9.693842,3.894601,-8.139174,11540,5796,-18164,0.08999999999999986,-4.170441033999971,-1.1746721050000113,-3.066534025999985,-29.469703448403916,3.299467445600015,-16.655213304467946
13.778,-6.240224,9.809701,-1.446293,1204,6096,-15844,0.0940000000000012,-4.757022089999978,-0.2525602109999996,-3.202485567999987,-29.91686352486392,3.2757267857660146,-16.95624694785995
13.872,-2.513872,2.751279,-9.649534,-5596,19952,-5884,0.09399999999999942,-4.993326057999977,0.0060600149999988084,-4.109541763999982,-30.386236174315915,3.2762964271760144,-17.342543873675943
13.967,-0.94723,2.148632,-2.479743,-11300,14008,-328,0.09500000000000064,-5.083312907999978,0.2101800550000002,-4.345117348999983,-30.869150900575917,3.2962635324010146,-17.755330021830943
14.061,3.257227,9.809701,9.809701,11484,4504,-8468,0.09399999999999942,-4.77713356999998,1.1322919489999945,-3.4230054549999887,-31.31820145615591,3.4026989756070134,-18.07709253460094
14.152,-6.409671,8.197554,-1.333727,3600,19588,-5896,0.0909999999999993,-5.360413630999975,1.8782693629999887,-3.544374611999988,-31.805999096576905,3.573621487640011,-18.399630624292936
14.245,0.940943,4.371809,-0.549956,5684,16152,-2624,0.09299999999999997,-5.272905931999976,2.2848475999999884,-3.595520519999988,-32.296379348252906,3.78611231444001,-18.734014032652933
14.338,-8.057445,9.809701,0.748743,6096,18832,-10228,0.09299999999999997,-6.022248316999975,3.1971497929999884,-3.525887420999988,-32.8564484417339,4.083447245189009,-19.06192156280593
14.431,-9.81,6.783893,-3.665578,-9372,15404,4168,0.09299999999999997,-6.934578316999975,3.8280518419999883,-3.866786174999988,-33.5013642252149,4.439456066495008,-19.42153267708093
