ax,ay,az,gx,gy,gz,time
-0.43457,0.760742,-0.468262,29.72412,4.943848,5.187988,2.88491
-0.447266,0.767578,-0.450684,25.93994,2.868652,6.04248,2.898219
-0.46875,0.776367,-0.424805,22.03369,0.549316,5.310059,2.911506
-0.472168,0.77002,-0.428711,20.87402,0.0,5.065918,2.914587
-0.471191,0.759766,-0.467773,15.19775,4.394531,3.540039,2.927854
-0.465332,0.761719,-0.470703,14.22119,5.432129,3.173828,2.930938
-0.446289,0.777832,-0.492188,11.65771,7.080078,1.831055,2.944247
-0.445313,0.78418,-0.495117,12.02393,5.92041,2.075195,2.94734
-0.418945,0.793945,-0.473633,12.93945,0.366211,3.540039,2.960665
-0.419434,0.800293,-0.432129,9.460449,-4.821777,7.263184,2.973966
-0.428711,0.797363,-0.421875,7.93457,-5.065918,7.8125,2.97707
-0.464844,0.782227,-0.400391,0.366211,-5.371094,7.8125,2.990334
-0.469238,0.790527,-0.37793,-1.647949,-6.591797,7.751465,2.993438
-0.478027,0.781738,-0.38623,-11.84082,-12.3291,8.422852,3.006756
-0.48291,0.76416,-0.431641,-20.44678,-6.835938,6.774902,3.02012
-0.478027,0.769531,-0.446289,-21.97266,-5.859375,6.530762,3.023237
-0.469727,0.760742,-0.517578,-27.03857,-1.953125,5.79834,3.036604
-0.470215,0.751953,-0.523926,-27.34375,-1.464844,5.859375,3.039717
-0.438965,0.765137,-0.523926,-26.48926,-5.004883,6.04248,3.053064
-0.418945,0.757324,-0.525391,-27.83203,-6.591797,7.995605,3.066401
-0.418457,0.754883,-0.500488,-28.80859,-7.873535,8.605957,3.069527
-0.429199,0.760254,-0.466309,-33.14209,-17.63916,9.643555,3.082812
-0.429199,0.759277,-0.458984,-35.15625,-19.77539,10.00977,3.085927
-0.460938,0.736328,-0.561035,-41.25977,-22.58301,10.19287,3.099247
-0.488281,0.745117,-0.684082,-36.92627,-10.86426,8.911133,3.112534
-0.492676,0.751953,-0.692383,-34.48486,-9.094238,8.728027,3.115647
-0.480957,0.750488,-0.706543,-21.48438,-2.868652,7.202148,3.128968
-0.471191,0.750977,-0.691406,-18.85986,-1.89209,7.019043,3.132094
-0.436523,0.760742,-0.599121,-12.63428,1.953125,8.850098,3.1454
-0.439941,0.755371,-0.488281,-15.38086,2.868652,11.2915,3.15867
-0.44873,0.750977,-0.470703,-17.08984,2.563477,11.84082,3.16177
-0.480469,0.765137,-0.421875,-27.28271,-4.882813,13.48877,3.175064
-0.491211,0.756348,-0.426758,-30.09033,-6.713867,13.48877,3.178187
-0.505371,0.747559,-0.461914,-37.53662,-11.96289,12.20703,3.191536
-0.479492,0.740723,-0.506836,-42.41943,-16.47949,11.59668,3.204835
-0.473633,0.741211,-0.509277,-43.27393,-16.72363,11.71875,3.207952
-0.449219,0.742188,-0.526855,-45.77637,-19.22607,13.18359,3.221258
-0.445801,0.729492,-0.538086,-46.14258,-18.98193,13.24463,3.224388
-0.458496,0.713379,-0.558105,-47.18018,-15.38086,14.09912,3.23771
-0.481445,0.6875,-0.587402,-47.85156,-9.82666,12.75635,3.250995
-0.480957,0.686035,-0.580566,-47.79053,-9.460449,12.45117,3.25412
-0.458496,0.682617,-0.581543,-46.69189,-8.972168,11.65771,3.267432
-0.450684,0.686035,-0.5625,-46.50879,-9.277344,11.65771,3.27056
