time,data,butter,laplace,gaussian,target
26.22,4016.0,4012.0236410829507,4003.8637342652905,4007.759744966512,4010.781260789541
26.25,4011.0,4012.0884985627263,4003.8202178787624,4008.178817802669,4010.8707024183245
26.279999999999998,4011.0,4012.156479436685,4003.823522662974,4008.5800572407916,4010.9655415397247
26.31,4011.0,4012.2275024896703,4003.862125042589,4008.963358281953,4011.0645503241903
26.34,4010.0,4012.3014856217583,4003.930599507655,4009.3278346629427,4011.167031914467
26.369999999999997,4010.0,4012.378345230987,4004.0227428669714,4009.6763145537716,4011.2725819268644
26.4,4010.0,4012.457995775904,4004.134178301692,4010.010036941851,4011.3808181450777
26.43,4011.0,4012.5403495180103,4004.2634132635285,4010.3305467325426,4011.4916756140155
26.459999999999997,4011.0,4012.625316626896,4004.4102781330585,4010.6398154820054,4011.6052626630235
26.49,4013.0,4012.7128055872404,4004.575777483403,4010.93912531072,4011.7217347492046
26.52,4013.0,4012.8027238468735,4004.761952324641,4011.2317981811225,4011.8415541280756
26.55,4013.0,4012.894978523281,4004.9680248368804,4011.520022001551,4011.9647875024684
26.58,4011.0,4012.989476681435,4005.188235662602,4011.8066621720577,4012.091071128614
26.61,4011.0,4013.086124878541,4005.414921071031,4012.0927935622776,4012.219671366164
26.64,4011.0,4013.184828341196,4005.6437369531754,4012.3802018209744,4012.350256550372
26.669999999999998,4015.0,4013.2854906276566,4005.8782756556384,4012.6703300402946,4012.483253071719
26.7,4015.0,4013.388014384317,4006.126665484216,4012.9642055875765,4012.6194986146334
26.73,4007.0,4013.492302222083,4006.3811351135155,4013.2623411042077,4012.758189399439
26.759999999999998,4007.0,4013.5982556421045,4006.619849936489,4013.5647487143683,4012.8970643787698
26.79,4007.0,4013.7057722545783,4006.833463587943,4013.8706076898306,4013.0350249314406
26.82,4016.0,4013.8147442748336,4007.034936200689,4014.179514145555,4013.173240454492
26.849999999999998,4016.0,4013.9250601238437,4007.2470066996093,4014.4883962721024,4013.3135883962464
