ax,ay,az,gx,gy,gz,time
-960,-798,-531,4552,596,16244,3.531894
-921,-760,-494,4556,516,15820,3.534613
-527,-256,-409,4292,224,15080,3.547542
-387,-137,-386,4312,120,15016,3.550262
-276,5,-393,4160,128,14880,3.552981
228,310,-379,4016,-48,15128,3.565916
335,321,-400,4008,-104,15308,3.568621
623,344,-432,3904,20,15660,3.581512
683,301,-429,3944,-8,15796,3.584203
706,300,-407,3984,-92,15920,3.586915
725,349,-378,4000,72,16276,3.599859
649,315,-397,4056,132,16364,3.602546
342,345,-292,3896,188,16628,3.615462
275,296,-278,3812,172,16764,3.618151
178,327,-295,3804,188,16700,3.620841
-130,168,-304,3640,172,16472,3.633737
-199,128,-354,3672,184,16304,3.636442
-273,85,-424,3624,128,15740,3.649404
-246,112,-408,3692,188,15568,3.652111
-194,136,-405,3676,132,15492,3.654819
-48,344,-491,3528,44,15324,3.667718
1,289,-537,3560,136,15408,3.670421
222,340,-663,3588,248,15504,3.683308
226,283,-694,3640,236,15820,3.685998
261,246,-686,3660,288,15764,3.688684
297,-294,-691,3992,428,16204,3.701588
297,-422,-655,3992,448,16316,3.704293
217,-860,-470,4316,508,16128,3.717246
169,-914,-427,4320,468,16112,3.71995
173,-963,-378,4336,480,16040,3.722655
29,-1013,-178,4132,444,15724,3.735558
25,-904,-185,4124,400,15552,3.738262
15,-500,-166,4048,300,15328,3.751185
9,-464,-160,4060,296,15504,3.7539
1,-428,-141,4016,256,15556,3.756604
-58,-105,-89,3960,236,15536,3.769489
-93,-26,-89,3944,236,15656,3.772209
-91,31,-86,3820,180,15648,3.77492
-162,153,-165,3556,24,15760,3.787818
-118,103,-149,3516,68,15684,3.790529
89,-355,-275,3420,104,15856,3.803462
117,-499,-264,3496,108,15632,3.806165
174,-631,-306,3520,68,15692,3.808881
407,-891,-360,3716,132,15532,3.82184
426,-945,-338,3664,136,15480,3.824554
530,-712,-353,3804,176,15496,3.837469
516,-645,-336,3812,208,15744,3.840173
503,-631,-314,3836,240,15884,3.842885
349,-558,-224,3892,272,16064,3.855818
312,-546,-249,3848,304,15972,3.85853
100,-398,-139,3828,168,16236,3.871412
125,-370,-118,3828,152,16176,3.87412
99,-404,-124,3736,128,16384,3.876823
-99,-555,-156,3368,96,16192,3.889712
-164,-636,-229,3476,140,16276,3.892437
-245,-986,-308,3428,180,15736,3.90535
-180,-1048,-315,3492,164,15552,3.90807
-132,-1062,-339,3440,140,15460,3.910793
136,-1024,-398,3584,120,15308,3.923734
217,-978,-402,3564,92,15272,3.926439
506,-942,-339,3876,224,15468,3.939376
577,-850,-373,3940,288,15300,3.942083
662,-853,-336,3956,176,15416,3.944793
944,-524,-170,3952,36,15516,3.957729
992,-430,-143,3876,-4,15708,3.960436
992,-313,-111,3688,72,16180,3.973407
